,simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution,CONTROL_ROS,NORMALIZED_ROS
149,149,5.0,low,0.07,0.035,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.0,0.0
150,150,0.5,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
151,151,0.5918,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
152,152,0.6837,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
153,153,0.7755,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
154,154,0.8673,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
155,155,0.9592,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
156,156,1.051,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
157,157,1.1429,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
158,158,1.2347,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
159,159,1.3265,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
160,160,1.4184,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
161,161,1.5102,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
162,162,1.602,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
163,163,1.6939,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
164,164,1.7857,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
165,165,1.8776,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
166,166,1.9694,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
167,167,2.0612,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
168,168,2.1531,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
169,169,2.2449,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
170,170,2.3367,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
171,171,2.4286,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
172,172,2.5204,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
173,173,2.6122,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
174,174,2.7041,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
175,175,2.7959,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
176,176,2.8878,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
177,177,2.9796,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
178,178,3.0714,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
179,179,3.1633,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
180,180,3.2551,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
181,181,3.3469,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
182,182,3.4388,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
183,183,3.5306,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
184,184,3.6224,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
185,185,3.7143,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
186,186,3.8061,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
187,187,3.898,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
188,188,3.9898,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
189,189,4.0816,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
190,190,4.1735,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
191,191,4.2653,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
192,192,4.3571,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
193,193,4.449,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
194,194,4.5408,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
195,195,4.6327,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
196,196,4.7245,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
197,197,4.8163,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
198,198,4.9082,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
199,199,5.0,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
200,200,0.5,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
201,201,0.5918,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
202,202,0.6837,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
203,203,0.7755,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
204,204,0.8673,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
205,205,0.9592,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
206,206,1.051,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
207,207,1.1429,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
208,208,1.2347,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,bfm,coarse,0.0,0.0
