simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
171,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.6
172,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.7
173,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.8
174,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.9
175,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,3.0
176,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,3.1
177,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,3.2
178,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,3.3
179,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,3.4
180,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.0
181,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.1
182,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.2
183,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.3
184,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.4
185,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.5
186,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.6
187,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.7
188,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.8
189,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,2.9
190,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,3.0
191,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,3.1
192,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,3.2
193,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,3.3
194,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,3.4
195,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.0
196,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.1
197,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.2
198,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.3
199,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.4
200,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.5
201,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.6
202,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.7
203,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.8
204,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,2.9
205,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,3.0
206,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,3.1
207,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,3.2
208,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,3.3
209,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,3.4
210,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.0
211,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.1
212,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.2
213,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.3
214,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.4
215,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.5
216,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.6
217,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.7
218,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.8
219,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,2.9
220,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,3.0
221,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,3.1
222,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,3.2
223,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,3.3
224,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,3.4
225,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.0
226,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.1
227,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.2
228,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.3
229,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.4
230,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.5
231,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.6
232,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.7
233,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.8
234,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,2.9
235,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,3.0
236,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,3.1
237,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,3.2
238,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,3.3
239,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,3.4
240,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.0
241,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.1
242,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.2
243,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.3
244,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.4
245,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.5
246,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.6
247,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.7
248,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.8
249,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,2.9
250,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,3.0
251,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,3.1
252,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,3.2
253,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,3.3
254,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,3.4
255,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.0
256,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.1
257,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.2
258,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.3
259,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.4
260,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.5
261,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.6
262,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.7
263,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.8
264,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,2.9
265,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,3.0
