simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
150,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.0
151,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.1
152,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.2
153,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.3
154,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.4
155,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.5
156,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.6
157,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.7
158,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.8
159,pfm,1.8,0.6,0.4,0.15,0.15,6561,6561,0.31,1.9
160,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.0
161,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.1
162,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.2
163,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.3
164,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.4
165,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.5
166,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.6
167,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.7
168,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.8
169,pfm,1.8,0.6,0.5,0.15,0.15,6561,6561,0.31,1.9
170,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.0
171,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.1
172,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.2
173,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.3
174,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.4
175,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.5
176,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.6
177,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.7
178,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.8
179,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,1.9
180,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.0
181,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.1
182,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.2
183,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.3
184,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.4
185,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.5
186,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.6
187,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.7
188,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.8
189,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,1.9
190,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.0
191,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.1
192,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.2
193,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.3
194,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.4
195,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.5
196,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.6
197,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.7
198,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.8
199,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,1.9
200,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.0
201,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.1
202,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.2
203,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.3
204,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.4
205,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.5
206,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.6
207,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.7
208,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.8
209,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,1.9
210,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.0
211,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.1
212,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.2
213,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.3
214,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.4
215,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.5
216,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.6
217,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.7
218,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.8
219,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,1.9
220,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.0
221,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.1
222,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.2
223,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.3
224,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.4
225,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.5
226,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.6
227,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.7
228,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.8
229,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,1.9
230,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.0
231,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.1
232,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.2
233,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.3
234,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.4
235,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.5
236,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.6
237,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.7
238,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.8
239,pfm,2.25,0.6,0.6,0.15,0.15,6561,6561,0.31,1.9
240,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.0
241,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.1
242,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.2
243,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.3
244,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.4
245,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.5
246,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.6
247,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.7
248,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.8
249,pfm,2.7,0.6,0.1,0.15,0.15,6561,6561,0.31,1.9
250,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.0
251,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.1
252,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.2
253,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.3
254,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.4
255,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.5
256,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.6
257,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.7
258,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.8
259,pfm,2.7,0.6,0.2,0.15,0.15,6561,6561,0.31,1.9
260,pfm,2.7,0.6,0.3,0.15,0.15,6561,6561,0.31,1.0
261,pfm,2.7,0.6,0.3,0.15,0.15,6561,6561,0.31,1.1
262,pfm,2.7,0.6,0.3,0.15,0.15,6561,6561,0.31,1.2
263,pfm,2.7,0.6,0.3,0.15,0.15,6561,6561,0.31,1.3
